발생일자,중분류(보정),플랜트,제품범주2,제조일자,count,접수일,클레임건수,lag_days,lag_class,sample_weight
2021-01-30,공정이물류,인천2)유,해바라기유 가정용,2020-12-22,1,2021-01-30,1,39,normal,1.0
2021-01-29,인체이물류,진천BC,비엔나,2020-12-24,1,2021-01-29,1,36,normal,1.0
2021-01-29,동물성이물,인천냉동식품,비비고 왕교자,2020-11-12,1,2021-01-29,1,78,normal,1.0
2021-01-29,관능,진천BC,치킨류,2020-10-31,1,2021-01-29,1,90,normal,1.0
2021-01-29,성분,선양,레디밀,2020-09-07,1,2021-01-29,1,144,borderline,0.5
2021-01-29,관능,인천2)유,고소함가득참기름,2019-06-04,1,2021-01-29,1,605,borderline,0.5
2021-01-29,합성수지류,부산공장,잡곡,2020-11-10,1,2021-01-29,1,80,normal,1.0
2021-01-29,성분,소디프,꼬지형,2021-01-11,1,2021-01-29,1,18,normal,1.0
2021-01-29,인체이물류,진천BC,한식반찬(백설/기타),2020-09-17,1,2021-01-29,1,134,normal,1.0
2021-01-29,관능,씨푸드_이천,국판조미김,2020-12-18,1,2021-01-29,1,42,normal,1.0
2021-01-29,식물성이물,인천냉동식품,비비고 왕교자,2020-11-23,1,2021-01-29,1,67,normal,1.0
2021-01-29,관능,인천2)유,고소함가득참기름,2019-10-19,1,2021-01-29,1,468,normal,1.0
2021-01-29,인체이물류,우양냉동(장항),스낵(Frying),2020-11-22,1,2021-01-29,1,68,normal,1.0
2021-01-29,공정이물류,진천BC,후랑크,2021-01-12,1,2021-01-29,1,17,normal,1.0
2021-01-29,합성수지류,씨푸드_성남,삼호어묵,2021-01-24,1,2021-01-29,1,5,normal,1.0
2021-01-29,동물성이물,진천BC,한식반찬(백설/기타),2020-09-25,1,2021-01-29,1,126,normal,1.0
2021-01-29,관능,진천)육가공,땡류,2020-11-20,1,2021-01-29,1,70,borderline,0.5
2021-01-28,기타이물류,씨푸드_이천,국판조미김,2020-11-07,1,2021-01-28,1,82,normal,1.0
2021-01-28,기타이물류,진천BC,스낵(Baked),2021-01-14,1,2021-01-28,1,14,normal,1.0
2021-01-28,합성수지류,남원공장,군만두,2020-12-16,1,2021-01-28,1,43,normal,1.0
2021-01-28,관능,진천)육가공,미트편의식,2020-12-22,1,2021-01-28,1,37,normal,1.0
2021-01-28,성분,소디프,꼬지형,2020-12-30,1,2021-01-28,1,29,normal,1.0
2021-01-28,관능,인천2)유,고소함가득참기름,2019-05-22,1,2021-01-28,1,617,borderline,0.5
2021-01-28,식물성이물,인천냉동식품,손만두,2021-01-19,1,2021-01-28,1,9,normal,1.0
2021-01-28,동물성이물,진천BC,치킨류,2020-11-23,1,2021-01-28,1,66,normal,1.0
2021-01-28,동물성이물,진천BC,한식반찬(비비고),2021-01-12,1,2021-01-28,1,16,normal,1.0
2021-01-28,형태,인천냉동식품,비비고 왕교자,2021-01-07,1,2021-01-28,1,21,normal,1.0
2021-01-28,합성수지류,진천)육가공,B2B 후랑크,2021-01-12,1,2021-01-28,1,16,normal,1.0
2021-01-28,합성수지류,진천BC,한식반찬(비비고),2020-12-15,1,2021-01-28,1,44,normal,1.0
2021-01-28,인체이물류,한우물 영농조합,레디밀,2020-11-25,1,2021-01-28,1,64,normal,1.0
2021-01-28,합성수지류,동방푸드마스타(냉장),견과류 드레싱,2021-01-05,1,2021-01-28,1,23,normal,1.0
2021-01-28,벌레류,남원공장,남원B2C냉동면,2020-12-30,1,2021-01-28,1,29,normal,1.0
2021-01-28,합성수지류,교동,일반 국물 B2B,2020-10-06,1,2021-01-28,1,114,normal,1.0
2021-01-28,동물성이물,신라에스지,미니소시지,2020-12-31,1,2021-01-28,1,28,normal,1.0
