product_cat2,mu,sigma,p90,p95,n,use_global
(미사용)비비고볶음,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
0,103.30129716981132,171.77182339358228,231.0,350.0499999999993,6,True
1급강력밀가루,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
1급박력밀가루,103.30129716981132,171.77182339358228,231.0,350.0499999999993,5,True
1급중력밀가루,103.30129716981132,171.77182339358228,231.0,350.0499999999993,22,True
B2B Tray One Meal,103.30129716981132,171.77182339358228,231.0,350.0499999999993,6,True
B2B 베이컨,103.30129716981132,171.77182339358228,231.0,350.0499999999993,23,True
B2B 비엔나,103.30129716981132,171.77182339358228,231.0,350.0499999999993,13,True
B2B 손만두,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
B2B 스팸,131.9111111111111,152.12039416523893,182.4,271.9999999999997,45,False
B2B 슬라이스,103.30129716981132,171.77182339358228,231.0,350.0499999999993,13,True
B2B 신선대용식,103.30129716981132,171.77182339358228,231.0,350.0499999999993,5,True
B2B 왕만두,103.30129716981132,171.77182339358228,231.0,350.0499999999993,5,True
B2B 잡곡,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
B2B 조리육(OEM),31.236842105263158,31.042783897920046,42.800000000000026,62.94999999999987,38,False
B2B 죽(용기),103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
B2B 후랑크,103.30129716981132,171.77182339358228,231.0,350.0499999999993,28,True
B2B) 젤리,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
B2B갈비만두,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
B2B고메(반찬류),103.30129716981132,171.77182339358228,231.0,350.0499999999993,29,True
B2B고메(스낵류),103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
B2B교자만두,103.30129716981132,171.77182339358228,231.0,350.0499999999993,7,True
B2B군만두,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
B2B까스류,103.30129716981132,171.77182339358228,231.0,350.0499999999993,28,True
B2B냉동면,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
B2B냉동밥,103.30129716981132,171.77182339358228,231.0,350.0499999999993,8,True
B2B드레싱,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
B2B만두류기타,103.30129716981132,171.77182339358228,231.0,350.0499999999993,8,True
B2B맨밥,96.40625,56.79065689827421,177.70000000000002,195.85,32,False
B2B물만두,103.30129716981132,171.77182339358228,231.0,350.0499999999993,8,True
B2B반찬류,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
B2B반찬류 기타,103.30129716981132,171.77182339358228,231.0,350.0499999999993,14,True
B2B백미,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
B2B비비고,71.61538461538461,50.68536196141606,147.4,203.70000000000002,39,False
B2B비비고만두,103.30129716981132,171.77182339358228,231.0,350.0499999999993,11,True
B2B샐러드무스,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
B2B스낵류,103.30129716981132,171.77182339358228,231.0,350.0499999999993,7,True
B2B양식소스,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
B2B어묵,103.30129716981132,171.77182339358228,231.0,350.0499999999993,10,True
B2B완자류,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
B2B적전류,103.30129716981132,171.77182339358228,231.0,350.0499999999993,25,True
B2B치킨류,103.30129716981132,171.77182339358228,231.0,350.0499999999993,20,True
B2B튀김류,103.30129716981132,171.77182339358228,231.0,350.0499999999993,14,True
B2B패티류,73.41052631578947,61.11412873715814,121.60000000000001,143.19999999999996,95,False
B2B한풍소스,103.30129716981132,171.77182339358228,231.0,350.0499999999993,8,True
B2B햇반컵반,103.30129716981132,171.77182339358228,231.0,350.0499999999993,5,True
BIG냉장컵반,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
BIG컵반(컵),94.24489795918367,64.94127036344577,222.40000000000003,237.2,49,False
BIG컵반(트레이),103.30129716981132,171.77182339358228,231.0,350.0499999999993,18,True
Big컵반,103.30129716981132,171.77182339358228,231.0,350.0499999999993,7,True
FV _ OEM,19.7,32.094547823579006,49.2,58.59999999999991,40,False
Gut Care,103.30129716981132,171.77182339358228,231.0,350.0499999999993,20,True
PSPS,85.82352941176471,54.32643016980071,165.0,188.5,51,False
PSPS 기타,103.30129716981132,171.77182339358228,231.0,350.0499999999993,16,True
PSPS 영양밥,103.30129716981132,171.77182339358228,231.0,350.0499999999993,18,True
PSPS 잡곡밥,103.30129716981132,171.77182339358228,231.0,350.0499999999993,4,True
PSPS/그레인보울,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
Plantable B2B 만두,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
Plantable B2C P-rice,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
Plantable B2C 만두,103.30129716981132,171.77182339358228,231.0,350.0499999999993,22,True
Plantable B2C 조리냉동,103.30129716981132,171.77182339358228,231.0,350.0499999999993,8,True
Special Care,103.30129716981132,171.77182339358228,231.0,350.0499999999993,7,True
X,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
가정용김치,29.791666666666668,57.26472093609545,57.400000000000034,90.94999999999993,48,False
가정용다담,84.96491228070175,73.78369641439261,175.4,217.5999999999998,57,False
건강밀가루,103.30129716981132,171.77182339358228,231.0,350.0499999999993,6,True
견과류 드레싱,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
계절어보,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
고급맛살,103.30129716981132,171.77182339358228,231.0,350.0499999999993,14,True
고급밀가루,103.30129716981132,171.77182339358228,231.0,350.0499999999993,17,True
고메 파우치밥,103.30129716981132,171.77182339358228,231.0,350.0499999999993,14,True
고메피자(OEM),103.30129716981132,171.77182339358228,231.0,350.0499999999993,11,True
고메피자(클래식),68.76363636363637,51.9702585003677,122.60000000000004,168.39999999999998,55,False
고메피자(프리미엄),81.19298245614036,52.42285513235389,147.79999999999998,170.79999999999995,57,False
고소함가득참기름,428.1794871794872,185.7563708808232,620.0,657.3,195,False
고추장가정용,176.4875,155.87687398632937,430.60000000000014,469.1,80,False
고추장업소용,103.30129716981132,171.77182339358228,231.0,350.0499999999993,11,True
곡물 대용식 분말형,103.30129716981132,171.77182339358228,231.0,350.0499999999993,4,True
곡물대용식 분말,103.30129716981132,171.77182339358228,231.0,350.0499999999993,11,True
곡물대용식 스낵,103.30129716981132,171.77182339358228,231.0,350.0499999999993,10,True
과일류 드레싱(미사용),103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
과일젤리,54.66298342541437,35.271515277830076,93.0,140.0,181,False
교자만두,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
국산콩두부,10.933333333333334,5.904423953462541,19.0,21.19999999999999,30,False
국수,103.30129716981132,171.77182339358228,231.0,350.0499999999993,19,True
국판 씨푸드김,103.30129716981132,171.77182339358228,231.0,350.0499999999993,29,True
국판당 대물,103.30129716981132,171.77182339358228,231.0,350.0499999999993,12,True
국판당 소물,809.6129032258065,2355.0409718704145,1146.0,5243.0,31,False
국판당 실수요용,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
국판삼해김,68.56756756756756,45.03952650880476,140.0,160.0,370,False
국판조미김,79.03225806451613,74.13023819298868,161.0,204.0,341,False
군만두,94.0,95.46705365377804,216.0,244.5,96,False
굴소스,103.30129716981132,171.77182339358228,231.0,350.0499999999993,17,True
그레인수프,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
글로벌미식면,103.30129716981132,171.77182339358228,231.0,350.0499999999993,19,True
기초영양,103.30129716981132,171.77182339358228,231.0,350.0499999999993,15,True
기타,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
기타만두,103.30129716981132,171.77182339358228,231.0,350.0499999999993,4,True
김단독,103.30129716981132,171.77182339358228,231.0,350.0499999999993,5,True
김밥햄,19.903225806451612,10.274788558250403,35.0,38.0,31,False
김스낵,103.30129716981132,171.77182339358228,231.0,350.0499999999993,7,True
까스류,67.91578947368421,50.36857064268608,132.1,160.54999999999998,190,False
꼬지형,18.232472324723247,12.309111353013856,28.0,30.0,271,False
남원B2C냉동면,66.0952380952381,69.50425972687866,139.5,233.25,336,False
냉동 생선구이,103.30129716981132,171.77182339358228,231.0,350.0499999999993,11,True
냉면,40.775862068965516,41.82930959863211,82.0,105.25,116,False
냉장 생선구이,17.666666666666668,7.818855601939238,30.0,30.39999999999999,57,False
냉장스프,103.30129716981132,171.77182339358228,231.0,350.0499999999993,26,True
눈건강,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
다시다 대물,103.30129716981132,171.77182339358228,231.0,350.0499999999993,18,True
다시다 소물,103.30129716981132,171.77182339358228,231.0,350.0499999999993,15,True
다이어트,103.30129716981132,171.77182339358228,231.0,350.0499999999993,5,True
단독,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
담금청,103.30129716981132,171.77182339358228,231.0,350.0499999999993,12,True
당면,175.2289156626506,127.17669382807954,374.1999999999999,460.09999999999974,83,False
대두유가정용,103.30129716981132,171.77182339358228,231.0,350.0499999999993,24,True
대두유업소용,103.30129716981132,171.77182339358228,231.0,350.0499999999993,12,True
더건강한 닭가슴살,23.390438247011954,16.045222080132397,41.0,50.94999999999999,502,False
더건강한햄,103.30129716981132,171.77182339358228,231.0,350.0499999999993,11,True
더비비고 국물요리,103.30129716981132,171.77182339358228,231.0,350.0499999999993,11,True
더비비고 덮밥소스,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
된장가정용,224.89743589743588,132.91934992005102,403.0,444.75,156,False
된장업소용,141.52631578947367,136.58377099956525,265.6,321.0,57,False
드레싱,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
들기름,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
딤섬,103.30129716981132,171.77182339358228,231.0,350.0499999999993,10,True
땡류,103.30129716981132,171.77182339358228,231.0,350.0499999999993,22,True
런천미트,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
레디밀,73.47191011235955,49.272708193846675,134.40000000000003,177.99999999999994,89,False
맛간식,78.4949494949495,33.83781094042393,130.2,156.29999999999998,99,False
맛소금,103.30129716981132,171.77182339358228,231.0,350.0499999999993,4,True
맛술,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
매입)쿠킹믹스,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
메밀면,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
물만두,80.10588235294118,80.98613149675498,145.00000000000006,168.0,85,False
미니소시지,43.87394957983193,27.49165025931785,77.4,94.1,119,False
미식면,103.30129716981132,171.77182339358228,231.0,350.0499999999993,21,True
미식햄 후랑크,103.30129716981132,171.77182339358228,231.0,350.0499999999993,11,True
미초 희석식,103.30129716981132,171.77182339358228,231.0,350.0499999999993,4,True
미트편의식,27.456,20.574354522074323,46.60000000000001,55.8,125,False
밀키트 냉동,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
밀키트 냉동 완제품,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
밀키트 냉장,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
밥이랑,103.30129716981132,171.77182339358228,231.0,350.0499999999993,12,True
배터믹스,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
백미,99.04526091586794,61.39305424988189,179.29999999999995,220.0,1878,False
백설소금,103.30129716981132,171.77182339358228,231.0,350.0499999999993,16,True
밸런스플랜,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
베이커리,81.8048780487805,58.038767326589614,152.0,189.0,41,False
베이커리스낵,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
베이커리용밀가루,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
베이컨,28.721153846153847,48.91308160926679,42.400000000000006,148.99999999999955,104,False
볶음밥,103.30129716981132,171.77182339358228,231.0,350.0499999999993,11,True
분절햄,103.30129716981132,171.77182339358228,231.0,350.0499999999993,8,True
비비고 Basic만두,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
비비고 수제만두,84.29504504504504,181.15238190800562,147.39999999999998,200.69999999999993,444,False
비비고 왕교자,69.95381715362865,57.825134826970626,130.0,181.0,1061,False
비비고 죽 프리미엄(파우치),108.15625,70.48763605014358,245.80000000000013,253.7,32,False
비비고 죽(용기),82.65094339622641,54.67555116627923,174.0,211.75,106,False
비비고 죽(파우치),97.60740740740741,59.042620675588466,177.60000000000005,220.29999999999995,135,False
비비고 한식반찬,83.73255813953489,65.41763702963593,152.0,219.0,516,False
비비고무침,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
비비고별미김치,28.601063829787233,38.79522616684109,57.10000000000008,78.95000000000002,188,False
비비고볶음,103.30129716981132,171.77182339358228,231.0,350.0499999999993,12,True
비비고성형밥(OEM),53.71641791044776,60.33755939492248,115.6,135.69999999999996,67,False
비비고썰은김치,38.6875,287.4329745240619,31.0,36.0,160,False
비비고일반,78.62,49.241401279817374,158.90000000000003,182.75,50,False
비비고조림,103.30129716981132,171.77182339358228,231.0,350.0499999999993,13,True
비비고포기김치,103.30129716981132,171.77182339358228,231.0,350.0499999999993,25,True
비엔나,23.17695473251029,33.97005404464798,33.0,36.0,243,False
사각햄,22.58139534883721,13.50319954873665,40.00000000000002,51.9,43,False
산들애 분말,103.30129716981132,171.77182339358228,231.0,350.0499999999993,4,True
산들애 액상,103.30129716981132,171.77182339358228,231.0,350.0499999999993,4,True
삼호부산,8.292134831460674,20.407754775894784,12.0,16.0,89,False
삼호안심부산,9.843137254901961,5.26688712253768,13.0,17.0,51,False
삼호어묵,79.33333333333333,141.70263648997016,380.0,395.0,147,False
상온 안주일품요리,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
상온 일품요리,103.30129716981132,171.77182339358228,231.0,350.0499999999993,7,True
상온파우치,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
생면떡,103.30129716981132,171.77182339358228,231.0,350.0499999999993,4,True
성형햄,103.30129716981132,171.77182339358228,231.0,350.0499999999993,27,True
손만두,69.25490196078431,61.59966995622524,149.2,201.89999999999995,255,False
수)비비고죽(파우치),103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
수)조리냉동,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
수)파우치 죽(프리미엄),103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
수)프라잉,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
수)피자,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
수입콩두부,9.933333333333334,8.451955723710078,16.0,20.0,150,False
수출용 비비고만두,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
수출용컵반(국밥),103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
수출조미김,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
숙주,103.30129716981132,171.77182339358228,231.0,350.0499999999993,27,True
순두부,103.30129716981132,171.77182339358228,231.0,350.0499999999993,12,True
스낵(Baked),103.30129716981132,171.77182339358228,231.0,350.0499999999993,11,True
스낵(Frying),66.5,37.06368393274833,123.30000000000001,140.29999999999993,30,False
스팸,269.75280898876406,237.912989519272,555.8000000000001,686.7999999999996,89,False
스팸OOC,103.30129716981132,171.77182339358228,231.0,350.0499999999993,7,True
스팸기획,352.44736842105266,208.51551720226342,613.2000000000004,734.8499999999999,38,False
스팸냉동밥,63.088235294117645,46.3112028417587,143.69999999999996,168.0,34,False
스팸싱글,103.30129716981132,171.77182339358228,231.0,350.0499999999993,18,True
스팸일반,308.67759078830824,210.58349205017265,581.2,747.1999999999998,1129,False
슬라이스,17.03409090909091,8.724897581629103,28.0,32.0,88,False
시니어건강,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
식품기타,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
쌈장가정용,160.30188679245282,104.23324441713898,324.0,346.5,106,False
쌈장업소용,103.30129716981132,171.77182339358228,231.0,350.0499999999993,13,True
씨푸드 식재료,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
양식반찬,71.83495145631068,60.88905988227406,126.59999999999997,229.99999999999966,103,False
업소전용유,103.30129716981132,171.77182339358228,231.0,350.0499999999993,14,True
연두부류,103.30129716981132,171.77182339358228,231.0,350.0499999999993,22,True
오일류 드레싱,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
옥수수유가정용,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
올리고당 소물,103.30129716981132,171.77182339358228,231.0,350.0499999999993,16,True
올리브유,103.30129716981132,171.77182339358228,231.0,350.0499999999993,22,True
올리브유가정용,103.30129716981132,171.77182339358228,231.0,350.0499999999993,5,True
외식향만두,103.30129716981132,171.77182339358228,231.0,350.0499999999993,6,True
요거젤리,57.28947368421053,35.878382213378956,101.30000000000001,112.94999999999999,38,False
요리소스,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
요리유,103.30129716981132,171.77182339358228,231.0,350.0499999999993,28,True
요리초,103.30129716981132,171.77182339358228,231.0,350.0499999999993,5,True
용기 죽,82.16666666666667,49.702555438267126,150.3,169.7999999999999,78,False
용기면,89.77542372881356,39.6036024650572,140.0,146.0,236,False
용도별밀가루,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
우동,42.0625,33.29765147499145,78.40000000000012,108.79999999999995,80,False
워터젤리,103.30129716981132,171.77182339358228,231.0,350.0499999999993,4,True
원물김,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
원물형,103.30129716981132,171.77182339358228,231.0,350.0499999999993,6,True
원플레이트소스,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
유기농두부,103.30129716981132,171.77182339358228,231.0,350.0499999999993,7,True
유복합세트,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
육공육 비엔나,103.30129716981132,171.77182339358228,231.0,350.0499999999993,9,True
육공육 슬라이스,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
육공육 후랑크,103.30129716981132,171.77182339358228,231.0,350.0499999999993,13,True
음료　,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
일반 국물,96.57839721254355,78.34387670801166,197.80000000000007,253.19999999999993,287,False
일반 국물 B2B,98.375,79.81492263355268,220.3,290.74999999999966,64,False
일반 국물 사골,124.29411764705883,101.84692360474548,277.4000000000001,332.29999999999984,102,False
일반 국물 삼계,103.30129716981132,171.77182339358228,231.0,350.0499999999993,26,True
일반 요리당,103.30129716981132,171.77182339358228,231.0,350.0499999999993,4,True
일반 한식반찬,89.79120879120879,86.57290854616829,163.0,290.5,91,False
일반국밥,112.75,74.80377107249785,223.5,262.25,96,False
일반덮밥,100.55319148936171,98.87813443091349,180.19999999999993,247.19999999999982,47,False
일반맛살,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
일반식초,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
자연건강,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
자일로스설탕,103.30129716981132,171.77182339358228,231.0,350.0499999999993,12,True
잡곡,105.46181818181819,207.7555412155958,179.2,221.10000000000008,275,False
저탄수,103.30129716981132,171.77182339358228,231.0,350.0499999999993,5,True
조미김,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
조미식초,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
주먹밥,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
주먹밥(미사용),103.30129716981132,171.77182339358228,231.0,350.0499999999993,6,True
죽(용기),103.30129716981132,171.77182339358228,231.0,350.0499999999993,5,True
죽(파우치),103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
중식프라잉,64.30172413793103,46.97912592726069,137.5,168.0,116,False
직택배김치,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
진한참기름,239.05263157894737,212.9049636474133,499.9000000000002,593.8999999999999,38,False
쫄면,103.30129716981132,171.77182339358228,231.0,350.0499999999993,12,True
참치액,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
천일염,103.30129716981132,171.77182339358228,231.0,350.0499999999993,26,True
천일염허브맛솔트,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
초고추장가정용,103.30129716981132,171.77182339358228,231.0,350.0499999999993,18,True
치킨,67.68217054263566,49.10190602869202,134.40000000000003,173.39999999999998,387,False
치킨류,103.30129716981132,171.77182339358228,231.0,350.0499999999993,23,True
카놀라유,103.30129716981132,171.77182339358228,231.0,350.0499999999993,14,True
카놀라유가정용,103.30129716981132,171.77182339358228,231.0,350.0499999999993,5,True
카페 믹스,103.30129716981132,171.77182339358228,231.0,350.0499999999993,6,True
카페 소스,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
카페 시럽,103.30129716981132,171.77182339358228,231.0,350.0499999999993,27,True
캔,103.30129716981132,171.77182339358228,231.0,350.0499999999993,18,True
캔단독,103.30129716981132,171.77182339358228,231.0,350.0499999999993,4,True
캔복합세트,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
컵반 기타,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
코인육수,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
콩가공,103.30129716981132,171.77182339358228,231.0,350.0499999999993,8,True
콩나물,103.30129716981132,171.77182339358228,231.0,350.0499999999993,21,True
쿠킹믹스,134.73809523809524,97.81081338696403,328.49999999999994,334.95,42,False
쿠킹오일,103.30129716981132,171.77182339358228,231.0,350.0499999999993,4,True
클래식피자(BC),103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
통참깨참기름,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
튀김부침용,165.0,108.69311067262869,277.2,335.04999999999995,52,False
튀김전용가정용,103.30129716981132,171.77182339358228,231.0,350.0499999999993,3,True
특선세트,103.30129716981132,171.77182339358228,231.0,350.0499999999993,4,True
파스타,103.30129716981132,171.77182339358228,231.0,350.0499999999993,11,True
파스타소스,136.7,82.59949555939592,260.4,288.7499999999999,30,False
파우치 죽(일반),93.72368421052632,54.344078911528,160.0,204.75,76,False
파우치 죽(프리미엄),111.48571428571428,65.78639521906005,213.4,241.79999999999998,35,False
편의형만두,103.30129716981132,171.77182339358228,231.0,350.0499999999993,4,True
포도씨가정용,103.30129716981132,171.77182339358228,231.0,350.0499999999993,5,True
포도씨유,103.30129716981132,171.77182339358228,231.0,350.0499999999993,16,True
푸드업사이클링 B2C 스낵,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
프레시웨이매입상품,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
프로틴두부,103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
프리미엄 국물,91.81818181818181,60.90436718453579,179.5,217.5,176,False
프리미엄 국물 사골,103.30129716981132,171.77182339358228,231.0,350.0499999999993,20,True
프리미엄 냉동국물,103.30129716981132,171.77182339358228,231.0,350.0499999999993,7,True
프리미엄국밥,103.30129716981132,171.77182339358228,231.0,350.0499999999993,9,True
프리미엄덮밥,92.53100775193798,54.75202208357469,181.20000000000005,214.29999999999995,258,False
프리미엄피자(BC),103.30129716981132,171.77182339358228,231.0,350.0499999999993,1,True
피부건강,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
하선정다진마늘,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
하선정맛김치,103.30129716981132,171.77182339358228,231.0,350.0499999999993,2,True
하선정액젓가정용,103.30129716981132,171.77182339358228,231.0,350.0499999999993,24,True
하선정액젓업소용,103.30129716981132,171.77182339358228,231.0,350.0499999999993,11,True
하선정절임류,51.276923076923076,102.31422304199154,66.60000000000001,74.8,65,False
하선정찬류,103.30129716981132,171.77182339358228,231.0,350.0499999999993,11,True
하선정포기김치,103.30129716981132,171.77182339358228,231.0,350.0499999999993,9,True
한식반찬(백설/기타),103.30129716981132,171.77182339358228,231.0,350.0499999999993,22,True
한식반찬(비비고),78.25925925925925,87.51321279821761,141.4000000000001,229.24999999999946,54,False
한식양념장,103.30129716981132,171.77182339358228,231.0,350.0499999999993,16,True
핫도그,57.48945147679325,45.58773354653741,104.4,137.39999999999992,237,False
해바라기유,103.30129716981132,171.77182339358228,231.0,350.0499999999993,8,True
해바라기유 가정용,103.30129716981132,171.77182339358228,231.0,350.0499999999993,4,True
햇반 성형밥(BC),70.65853658536585,52.66952178145996,134.0,143.0,41,False
