product_cat2,mu,sigma,p90,p95,n,use_global
(냉동)잡채,110.73889751552795,174.16509191903262,255.0,397.0,5,True
(냉동)중화면,110.73889751552795,174.16509191903262,255.0,397.0,7,True
(냉동)칼국수,110.73889751552795,174.16509191903262,255.0,397.0,2,True
(미사용)비비고볶음,110.73889751552795,174.16509191903262,255.0,397.0,3,True
0,110.73889751552795,174.16509191903262,255.0,397.0,6,True
1급강력밀가루,110.73889751552795,174.16509191903262,255.0,397.0,6,True
1급박력밀가루,110.73889751552795,174.16509191903262,255.0,397.0,6,True
1급중력밀가루,110.73889751552795,174.16509191903262,255.0,397.0,24,True
B2B Tray One Meal,110.73889751552795,174.16509191903262,255.0,397.0,10,True
B2B 뉴카테고리,110.73889751552795,174.16509191903262,255.0,397.0,2,True
B2B 베이컨,40.5625,28.916839276622195,65.20000000000002,87.59999999999997,32,False
B2B 비엔나,110.73889751552795,174.16509191903262,255.0,397.0,22,True
B2B 손만두,110.73889751552795,174.16509191903262,255.0,397.0,3,True
B2B 스팸,152.3013698630137,190.80763352607806,247.39999999999992,507.59999999999854,73,False
B2B 슬라이스,110.73889751552795,174.16509191903262,255.0,397.0,24,True
B2B 신선대용식,110.73889751552795,174.16509191903262,255.0,397.0,5,True
B2B 왕만두,110.73889751552795,174.16509191903262,255.0,397.0,14,True
B2B 잡곡,110.73889751552795,174.16509191903262,255.0,397.0,1,True
B2B 조리육(OEM),41.301587301587304,39.19087799623013,104.80000000000001,110.5,63,False
B2B 죽(용기),110.73889751552795,174.16509191903262,255.0,397.0,3,True
B2B 죽(파우치),110.73889751552795,174.16509191903262,255.0,397.0,1,True
B2B 후랑크,31.2,25.651287909743857,58.800000000000004,66.89999999999999,35,False
B2B) 젤리,110.73889751552795,174.16509191903262,255.0,397.0,2,True
B2B갈비만두,110.73889751552795,174.16509191903262,255.0,397.0,3,True
B2B고메(반찬류),65.5,64.03778755777027,106.19999999999999,133.5499999999999,34,False
B2B고메(스낵류),110.73889751552795,174.16509191903262,255.0,397.0,4,True
B2B교자만두,110.73889751552795,174.16509191903262,255.0,397.0,11,True
B2B군만두,110.73889751552795,174.16509191903262,255.0,397.0,3,True
B2B까스류,56.604166666666664,42.07421002592391,117.60000000000018,158.89999999999998,48,False
B2B냉동면,110.73889751552795,174.16509191903262,255.0,397.0,2,True
B2B냉동밥,110.73889751552795,174.16509191903262,255.0,397.0,11,True
B2B드레싱,110.73889751552795,174.16509191903262,255.0,397.0,1,True
B2B떡갈비,110.73889751552795,174.16509191903262,255.0,397.0,19,True
B2B만두류기타,110.73889751552795,174.16509191903262,255.0,397.0,12,True
B2B맨밥,97.775,56.64163111175383,180.10000000000002,203.59999999999997,40,False
B2B물만두,110.73889751552795,174.16509191903262,255.0,397.0,21,True
B2B반찬류,110.73889751552795,174.16509191903262,255.0,397.0,1,True
B2B반찬류 기타,110.73889751552795,174.16509191903262,255.0,397.0,14,True
B2B백미,110.73889751552795,174.16509191903262,255.0,397.0,1,True
B2B비비고,70.22222222222223,50.532229050770226,141.00000000000006,205.84999999999994,54,False
B2B비비고만두,110.73889751552795,174.16509191903262,255.0,397.0,18,True
B2B샐러드무스,110.73889751552795,174.16509191903262,255.0,397.0,1,True
B2B스낵류,110.73889751552795,174.16509191903262,255.0,397.0,21,True
B2B스팸 대물,142.84,159.38005228593278,218.40000000000012,266.6999999999998,75,False
B2B스팸 소물,110.73889751552795,174.16509191903262,255.0,397.0,2,True
B2B양식소스,110.73889751552795,174.16509191903262,255.0,397.0,3,True
B2B어묵,110.73889751552795,174.16509191903262,255.0,397.0,10,True
B2B완자,110.73889751552795,174.16509191903262,255.0,397.0,5,True
B2B완자류,110.73889751552795,174.16509191903262,255.0,397.0,4,True
B2B적전,110.73889751552795,174.16509191903262,255.0,397.0,12,True
B2B적전류,65.5625,53.074792451313456,116.80000000000001,192.04999999999998,32,False
B2B치킨류,56.82857142857143,54.81526675468938,95.80000000000001,157.59999999999994,35,False
B2B튀김류,110.73889751552795,174.16509191903262,255.0,397.0,17,True
B2B패티류,74.74615384615385,61.185004640838336,122.20000000000002,153.55,130,False
B2B한식전,110.73889751552795,174.16509191903262,255.0,397.0,1,True
B2B한풍소스,110.73889751552795,174.16509191903262,255.0,397.0,11,True
B2B함박,110.73889751552795,174.16509191903262,255.0,397.0,7,True
B2B햇반컵반,110.73889751552795,174.16509191903262,255.0,397.0,5,True
B2C 스팸단품,341.65434565434566,219.13133017378567,582.0,807.0,1001,False
B2C 스팸번들기획,336.0485436893204,203.7929359676295,556.1999999999999,656.6999999999999,103,False
B2C스팸 싱글,110.73889751552795,174.16509191903262,255.0,397.0,7,True
BIG냉장컵반,110.73889751552795,174.16509191903262,255.0,397.0,8,True
BIG컵반(컵),97.421875,66.362123206573,217.40000000000003,237.7,64,False
BIG컵반(트레이),110.73889751552795,174.16509191903262,255.0,397.0,19,True
Big컵반,110.73889751552795,174.16509191903262,255.0,397.0,7,True
FV _ OEM,19.7,32.094547823579006,49.2,58.59999999999991,40,False
Gut Care,110.73889751552795,174.16509191903262,255.0,397.0,20,True
PSPS,87.54205607476635,62.1560111864788,176.8000000000001,215.7,107,False
PSPS 기타,110.73889751552795,174.16509191903262,255.0,397.0,16,True
PSPS 영양밥,110.73889751552795,174.16509191903262,255.0,397.0,18,True
PSPS 잡곡밥,110.73889751552795,174.16509191903262,255.0,397.0,4,True
PSPS/그레인보울,110.73889751552795,174.16509191903262,255.0,397.0,2,True
PSPS/기능성,110.73889751552795,174.16509191903262,255.0,397.0,12,True
PSPS/백미,110.73889751552795,174.16509191903262,255.0,397.0,8,True
Plantable B2B 만두,110.73889751552795,174.16509191903262,255.0,397.0,4,True
Plantable B2C P-rice,110.73889751552795,174.16509191903262,255.0,397.0,2,True
Plantable B2C rice,110.73889751552795,174.16509191903262,255.0,397.0,5,True
Plantable B2C 만두,103.225,76.95598985784018,172.9,201.94999999999987,40,False
Plantable B2C 조리냉동,110.73889751552795,174.16509191903262,255.0,397.0,14,True
Special Care,110.73889751552795,174.16509191903262,255.0,397.0,7,True
X,110.73889751552795,174.16509191903262,255.0,397.0,2,True
X더건강한 닭가슴살,110.73889751552795,174.16509191903262,255.0,397.0,11,True
X더건강한냉동닭가슴살,110.73889751552795,174.16509191903262,255.0,397.0,2,True
