series_id,status,n_obs,aic,bic,path
ABRIL|요리유|기타,success,159,-180.68874424466236,-167.41894249387474,artifacts\models\base_2021_2023\ABRIL_요리유_기타.pkl
ABRIL|요리유|편의,success,159,-11.697763892942113,1.5720378578455012,artifacts\models\base_2021_2023\ABRIL_요리유_편의.pkl
ABRIL|쿠킹오일|포장불량,success,159,-180.68874424466233,-167.4189424938747,artifacts\models\base_2021_2023\ABRIL_쿠킹오일_포장불량.pkl
ABRIL|요리유|포장불량,success,159,37.652617088527414,50.92241883931503,artifacts\models\base_2021_2023\ABRIL_요리유_포장불량.pkl
C&S (제당)|B2B까스류|기타이물류,success,159,-180.6887442446675,-167.41894249387988,artifacts\models\base_2021_2023\C&S (제당)_B2B까스류_기타이물류.pkl
C&S (제당)|B2B반찬류|인체이물류,success,159,-180.68874424466753,-167.4189424938799,artifacts\models\base_2021_2023\C&S (제당)_B2B반찬류_인체이물류.pkl
C&S (제당)|B2B까스류|공정이물류,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\C&S (제당)_B2B까스류_공정이물류.pkl
C&S (제당)|B2B까스류|동물성이물,success,159,0.03318729359415684,13.302989044381771,artifacts\models\base_2021_2023\C&S (제당)_B2B까스류_동물성이물.pkl
C&S (제당)|B2B튀김류|공정이물류,success,159,-107.90829055940904,-94.63848880862142,artifacts\models\base_2021_2023\C&S (제당)_B2B튀김류_공정이물류.pkl
C&S (제당)|B2B까스류|인체이물류,success,159,-2362.121517382724,-2348.8517156319363,artifacts\models\base_2021_2023\C&S (제당)_B2B까스류_인체이물류.pkl
C&S (제당)|B2B적전류|동물성이물,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\C&S (제당)_B2B적전류_동물성이물.pkl
C&S (제당)|B2B튀김류|관능,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\C&S (제당)_B2B튀김류_관능.pkl
C&S (제당)|B2B패티류|기타이물류,success,159,-180.68874442955808,-167.41894267877046,artifacts\models\base_2021_2023\C&S (제당)_B2B패티류_기타이물류.pkl
C&S (제당)|B2B튀김류|기타이물류,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\C&S (제당)_B2B튀김류_기타이물류.pkl
C&S (제당)|B2B패티류|동물성이물,success,159,-107.90829055940908,-94.63848880862147,artifacts\models\base_2021_2023\C&S (제당)_B2B패티류_동물성이물.pkl
C&S (제당)|B2B패티류|식물성이물,success,159,-180.68874424466242,-167.4189424938748,artifacts\models\base_2021_2023\C&S (제당)_B2B패티류_식물성이물.pkl
C&S (제당)|까스류|인체이물류,success,159,-180.68874424466745,-167.41894249387983,artifacts\models\base_2021_2023\C&S (제당)_까스류_인체이물류.pkl
C&S (제당)|B2B튀김류|동물성이물,success,159,-2362.1215173821615,-2348.8517156313737,artifacts\models\base_2021_2023\C&S (제당)_B2B튀김류_동물성이물.pkl
C&S (제당)|까스류|동물성이물,success,159,-180.68874442957622,-167.4189426787886,artifacts\models\base_2021_2023\C&S (제당)_까스류_동물성이물.pkl
C&S (제당)|베이커리스낵|합성수지류,success,159,-180.6887442446675,-167.41894249387988,artifacts\models\base_2021_2023\C&S (제당)_베이커리스낵_합성수지류.pkl
C&S (제당)|까스류|합성수지류,success,159,-107.90829055909136,-94.63848880830375,artifacts\models\base_2021_2023\C&S (제당)_까스류_합성수지류.pkl
C&S (제당)|B2B패티류|합성수지류,success,159,-2362.121517382739,-2348.8517156319513,artifacts\models\base_2021_2023\C&S (제당)_B2B패티류_합성수지류.pkl
C&S (제당)|스낵(Frying)|기타,success,159,-2214.737255670767,-2201.467453919979,artifacts\models\base_2021_2023\C&S (제당)_스낵(Frying)_기타.pkl
C&S (제당)|스낵(Frying)|기타이물류,success,159,-2214.737255670767,-2201.467453919979,artifacts\models\base_2021_2023\C&S (제당)_스낵(Frying)_기타이물류.pkl
C&S (제당)|핫도그|기타,success,159,-65.33445430014987,-52.06465254936226,artifacts\models\base_2021_2023\C&S (제당)_핫도그_기타.pkl
C&S (제당)|일반 한식반찬|동물성이물,success,159,-196.05367392705026,-182.78387217626263,artifacts\models\base_2021_2023\C&S (제당)_일반 한식반찬_동물성이물.pkl
C&S (제당)|핫도그|관능,success,159,-180.68874440721714,-167.41894265642952,artifacts\models\base_2021_2023\C&S (제당)_핫도그_관능.pkl
C&S (제당)|핫도그|공정이물류,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\C&S (제당)_핫도그_공정이물류.pkl
C&S (제당)|핫도그|동물성이물,success,159,-11.697763900470019,1.5720378503175958,artifacts\models\base_2021_2023\C&S (제당)_핫도그_동물성이물.pkl
C&S (제당)|핫도그|기타이물류,success,159,-180.6887444072815,-167.41894265649387,artifacts\models\base_2021_2023\C&S (제당)_핫도그_기타이물류.pkl
C&S (제당)|핫도그|포장불량,success,159,-107.90829055941528,-94.63848880862767,artifacts\models\base_2021_2023\C&S (제당)_핫도그_포장불량.pkl
