제품범주2,플랜트,제조일자,중분류(보정),count
스팸일반,진천)육가공,2020-01-03,기타이물류,1
카페 시럽,인천1)당,2020-01-06,관능,1
진한참기름,인천2)유,2020-01-08,기타,1
B2B 왕만두,남원공장,2020-01-16,인체이물류,1
손만두,푸드웨어,2020-01-18,인체이물류,1
스팸일반,진천)육가공,2020-01-24,기타이물류,1
비비고 왕교자,인천냉동식품,2020-01-30,인체이물류,1
스팸일반,진천)육가공,2020-02-03,공정이물류,1
스팸일반,진천)육가공,2020-02-04,포장불량,1
카페 시럽,인천1)당,2020-02-06,관능,1
스팸,진천)육가공,2020-02-06,기타이물류,1
스팸일반,진천)육가공,2020-02-07,동물성이물,1
스팸,진천)육가공,2020-02-08,합성수지류,1
스팸일반,진천)육가공,2020-02-08,인체이물류,1
가정용김치,진천BC,2020-02-09,기타이물류,1
군만두,남원공장,2020-02-10,인체이물류,1
캔,진천)육가공,2020-02-10,기타이물류,1
고소함가득참기름,인천2)유,2020-02-11,포장불량,1
스팸,진천)육가공,2020-02-11,기타이물류,1
스팸일반,진천)육가공,2020-02-11,포장불량,1
스팸,진천)육가공,2020-02-16,기타변질,1
요리초,부산공장,2020-02-18,공정이물류,1
스팸일반,진천)육가공,2020-02-18,포장불량,1
일반 국물 사골,진천BC,2020-02-20,포장불량,1
스팸일반,진천)육가공,2020-02-21,동물성이물,1
된장가정용,공주공장,2020-02-25,변화,1
된장가정용,공주공장,2020-02-29,변화,1
일반 국물 사골,정다운(자연일가),2020-03-03,동물성이물,1
스팸일반,진천)육가공,2020-03-04,공정이물류,1
된장업소용,공주공장,2020-03-11,관능,1
하선정액젓가정용,논산1공장,2020-03-14,포장불량,1
쿠킹믹스,양산공장,2020-03-19,관능,1
캔,진천)육가공,2020-03-19,동물성이물,1
스팸일반,진천)육가공,2020-03-23,기타이물류,1
스팸일반,진천)육가공,2020-03-24,포장불량,1
스팸,진천)육가공,2020-03-24,공정이물류,1
비비고 왕교자,인천냉동식품,2020-03-25,동물성이물,1
스팸,진천)육가공,2020-03-25,공정이물류,1
캔,진천)육가공,2020-03-25,공정이물류,1
스팸일반,진천)육가공,2020-03-25,포장불량,1
스팸일반,진천)육가공,2020-03-25,포장불량,1
일반 국물 B2B,논산1공장,2020-03-26,합성수지류,1
백설소금,영진그린식품,2020-03-27,합성수지류,1
일반덮밥,부산공장,2020-03-29,동물성이물,1
파스타,REY PASTIFICIO,2020-04-01,공정이물류,1
스팸일반,진천)육가공,2020-04-01,인체이물류,1
일반 국물 B2B,논산1공장,2020-04-02,합성수지류,1
스팸,진천)육가공,2020-04-02,편의,1
특선세트,진천)육가공,2020-04-02,중량수량미달,1
스팸기획,진천선물세트,2020-04-02,제품,1
비비고 왕교자,인천냉동식품,2020-04-06,합성수지류,1
스팸일반,진천)육가공,2020-04-06,동물성이물,1
비비고 왕교자,인천냉동식품,2020-04-07,형태,1
스팸일반,진천)육가공,2020-04-07,공정이물류,1
건강밀가루,양산공장,2020-04-09,곰팡이,1
스팸일반,진천)육가공,2020-04-09,동물성이물,1
스팸기획,진천)육가공,2020-04-09,동물성이물,1
맛소금,부산공장,2020-04-13,기타이물류,1
남원B2C냉동면,남원공장,2020-04-15,인체이물류,1
진한참기름,인천2)유,2020-04-15,관능,1
파스타소스,논산1공장,2020-04-16,합성수지류,1
프리미엄 국물,논산1공장,2020-04-16,합성수지류,1
비비고성형밥(OEM),한우물 영농조합,2020-04-16,기타,1
백미,부산공장,2020-04-17,성분,1
백미,부산공장,2020-04-21,기타이물류,1
스팸일반,진천)육가공,2020-04-21,공정이물류,1
남원B2C냉동면,남원공장,2020-04-23,포장불량,1
